Character,X_Start,Y_Start,X_End,Y_End,Line_Number,Word_Number,Char_Number_in_Word,X_Center,Y_Center,Word_X_Start,Word_Y_Start,Word_X_End,Word_Y_End
g,1508,680,1527,712,8,9,1,1517,696,1480,680,1649,712
r,1528,680,1544,712,8,9,2,1536,696,1480,680,1649,712
u,1545,680,1563,712,8,9,3,1554,696,1480,680,1649,712
p,1564,680,1582,712,8,9,4,1573,696,1480,680,1649,712
a,1583,680,1604,712,8,9,5,1593,696,1480,680,1649,712
r,1605,680,1621,712,8,9,6,1613,696,1480,680,1649,712
 ,1649,673,1681,712,8,10,0,1665,692,1649,673,1681,712
s,1682,673,1705,712,8,10,0,1693,692,1682,673,1801,712
e,1706,673,1731,712,8,10,1,1718,692,1682,673,1801,712
g,1732,673,1751,712,8,10,2,1741,692,1682,673,1801,712
u,1752,673,1770,712,8,10,3,1761,692,1682,673,1801,712
n,1771,673,1789,712,8,10,4,1780,692,1682,673,1801,712
 ,1801,673,1833,703,8,11,0,1817,688,1801,673,1833,703
l,1834,673,1856,703,8,11,0,1845,688,1834,673,1879,703
a,1857,673,1884,703,8,11,1,1870,688,1834,673,1879,703
n,44,757,67,787,9,1,0,55,772,44,757,291,787
a,68,757,95,787,9,1,1,81,772,44,757,291,787
t,96,757,117,787,9,1,2,106,772,44,757,291,787
u,118,757,136,787,9,1,3,127,772,44,757,291,787
r,137,757,153,787,9,1,4,145,772,44,757,291,787
a,154,757,175,787,9,1,5,164,772,44,757,291,787
l,176,757,194,787,9,1,6,185,772,44,757,291,787
e,195,757,214,787,9,1,7,204,772,44,757,291,787
z,215,757,234,787,9,1,8,224,772,44,757,291,787
a,235,757,256,787,9,1,9,245,772,44,757,291,787
 ,291,757,319,787,9,2,0,305,772,291,757,319,787
d,320,757,344,787,9,2,0,332,772,320,757,364,787
e,345,757,370,787,9,2,1,357,772,320,757,364,787
 ,364,757,397,787,9,3,0,380,772,364,757,397,787
l,398,757,420,787,9,3,0,409,772,398,757,465,787
a,421,757,448,787,9,3,1,434,772,398,757,465,787
s,449,757,472,787,9,3,2,460,772,398,757,465,787
 ,465,764,496,787,9,4,0,480,775,465,764,496,787
c,497,764,521,787,9,4,0,509,775,497,764,660,787
a,522,764,549,787,9,4,1,535,775,497,764,660,787
u,550,764,568,787,9,4,2,559,775,497,764,660,787
s,569,764,587,787,9,4,3,578,775,497,764,660,787
a,588,764,609,787,9,4,4,598,775,497,764,660,787
s,610,764,628,787,9,4,5,619,775,497,764,660,787
:,629,764,634,787,9,4,6,631,775,497,764,660,787
 ,660,757,697,796,9,5,0,678,776,660,757,697,796
f,698,757,718,796,9,5,0,708,776,698,757,1012,796
i,719,757,739,796,9,5,1,729,776,698,757,1012,796
s,740,757,758,796,9,5,2,749,776,698,757,1012,796
i,759,757,779,796,9,5,3,769,776,698,757,1012,796
o,780,757,800,796,9,5,4,790,776,698,757,1012,796
l,801,757,819,796,9,5,5,810,776,698,757,1012,796
d,820,757,839,796,9,5,6,829,776,698,757,1012,796
g,840,757,859,796,9,5,7,849,776,698,757,1012,796
i,860,757,880,796,9,5,8,870,776,698,757,1012,796
c,881,757,900,796,9,5,9,890,776,698,757,1012,796
a,901,757,922,796,9,5,10,911,776,698,757,1012,796
s,923,757,941,796,9,5,11,932,776,698,757,1012,796
",",942,757,951,796,9,5,12,946,776,698,757,1012,796
 ,1012,757,1050,796,9,6,0,1031,776,1012,757,1050,796
e,1051,757,1076,796,9,6,0,1063,776,1051,757,1297,796
c,1077,757,1101,796,9,6,1,1089,776,1051,757,1297,796
o,1102,757,1127,796,9,6,2,1114,776,1051,757,1297,796
l,1128,757,1150,796,9,6,3,1139,776,1051,757,1297,796
é,1151,757,1170,796,9,6,4,1160,776,1051,757,1297,796
g,1171,757,1190,796,9,6,5,1180,776,1051,757,1297,796
i,1191,757,1211,796,9,6,6,1201,776,1051,757,1297,796
c,1212,757,1231,796,9,6,7,1221,776,1051,757,1297,796
a,1232,757,1253,796,9,6,8,1242,776,1051,757,1297,796
s,1254,757,1272,796,9,6,9,1263,776,1051,757,1297,796
 ,1297,764,1327,787,9,7,0,1312,775,1297,764,1327,787
o,1328,764,1353,787,9,7,0,1340,775,1328,764,1348,787
 ,1348,758,1379,796,9,8,0,1363,777,1348,758,1379,796
p,1380,758,1398,796,9,8,0,1389,777,1380,758,1599,796
u,1399,758,1417,796,9,8,1,1408,777,1380,758,1599,796
r,1418,758,1434,796,9,8,2,1426,777,1380,758,1599,796
a,1435,758,1456,796,9,8,3,1445,777,1380,758,1599,796
m,1457,758,1478,796,9,8,4,1467,777,1380,758,1599,796
e,1479,758,1498,796,9,8,5,1488,777,1380,758,1599,796
n,1499,758,1517,796,9,8,6,1508,777,1380,758,1599,796
t,1518,758,1535,796,9,8,7,1526,777,1380,758,1599,796
e,1536,758,1555,796,9,8,8,1545,777,1380,758,1599,796
a,43,841,70,871,10,1,0,56,856,43,841,332,871
m,71,841,92,871,10,1,1,81,856,43,841,332,871
b,93,841,111,871,10,1,2,102,856,43,841,332,871
i,112,841,132,871,10,1,3,122,856,43,841,332,871
e,133,841,152,871,10,1,4,142,856,43,841,332,871
n,153,841,171,871,10,1,5,162,856,43,841,332,871
t,172,841,189,871,10,1,6,180,856,43,841,332,871
a,190,841,211,871,10,1,7,200,856,43,841,332,871
l,212,841,230,871,10,1,8,221,856,43,841,332,871
e,231,841,250,871,10,1,9,240,856,43,841,332,871
s,251,841,269,871,10,1,10,260,856,43,841,332,871
.,270,841,275,871,10,1,11,272,856,43,841,332,871
 ,332,843,367,871,10,2,0,349,857,332,843,367,871
A,368,843,393,871,10,2,0,380,857,368,843,393,871
 ,393,842,420,871,10,3,0,406,856,393,842,420,871
e,421,842,446,871,10,3,0,433,856,421,842,541,871
s,447,842,470,871,10,3,1,458,856,421,842,541,871
t,471,842,492,871,10,3,2,481,856,421,842,541,871
a,493,842,520,871,10,3,3,506,856,421,842,541,871
s,521,842,544,871,10,3,4,532,856,421,842,541,871
 ,541,841,571,871,10,4,0,556,856,541,841,571,871
c,572,841,596,871,10,4,0,584,856,572,841,719,871
a,597,841,624,871,10,4,1,610,856,572,841,719,871
b,625,841,643,871,10,4,2,634,856,572,841,719,871
r,644,841,660,871,10,4,3,652,856,572,841,719,871
i,661,841,681,871,10,4,4,671,856,572,841,719,871
a,682,841,703,871,10,4,5,692,856,572,841,719,871
 ,719,841,748,871,10,5,0,733,856,719,841,748,871
a,749,841,776,871,10,5,0,762,856,749,841,893,871
f,777,841,797,871,10,5,1,787,856,749,841,893,871
h,798,841,816,871,10,5,2,807,856,749,841,893,871
a,817,841,838,871,10,5,3,827,856,749,841,893,871
d,839,841,858,871,10,5,4,848,856,749,841,893,871
i,859,841,879,871,10,5,5,869,856,749,841,893,871
r,880,841,896,871,10,5,6,888,856,749,841,893,871
 ,893,841,925,880,10,6,0,909,860,893,841,925,880
p,926,841,944,880,10,6,0,935,860,926,841,1121,880
o,945,841,965,880,10,6,1,955,860,926,841,1121,880
s,966,841,984,880,10,6,2,975,860,926,841,1121,880
i,985,841,1005,880,10,6,3,995,860,926,841,1121,880
b,1006,841,1024,880,10,6,4,1015,860,926,841,1121,880
l,1025,841,1043,880,10,6,5,1034,860,926,841,1121,880
e,1044,841,1063,880,10,6,6,1053,860,926,841,1121,880
s,1064,841,1082,880,10,6,7,1073,860,926,841,1121,880
 ,1121,848,1151,871,10,7,0,1136,859,1121,848,1151,871
c,1152,848,1176,871,10,7,0,1164,859,1152,848,1297,871
a,1177,848,1204,871,10,7,1,1190,859,1152,848,1297,871
u,1205,848,1223,871,10,7,2,1214,859,1152,848,1297,871
s,1224,848,1242,871,10,7,3,1233,859,1152,848,1297,871
a,1243,848,1264,871,10,7,4,1253,859,1152,848,1297,871
s,1265,848,1283,871,10,7,5,1274,859,1152,848,1297,871
 ,1297,841,1327,871,10,8,0,1312,856,1297,841,1327,871
d,1328,841,1352,871,10,8,0,1340,856,1328,841,1373,871
e,1353,841,1378,871,10,8,1,1365,856,1328,841,1373,871
 ,1373,841,1403,871,10,9,0,1388,856,1373,841,1403,871
d,1404,841,1428,871,10,9,0,1416,856,1404,841,1725,871
e,1429,841,1454,871,10,9,1,1441,856,1404,841,1725,871
t,1455,841,1476,871,10,9,2,1465,856,1404,841,1725,871
e,1477,841,1502,871,10,9,3,1489,856,1404,841,1725,871
r,1503,841,1519,871,10,9,4,1511,856,1404,841,1725,871
m,1520,841,1541,871,10,9,5,1530,856,1404,841,1725,871
i,1542,841,1562,871,10,9,6,1552,856,1404,841,1725,871
n,1563,841,1581,871,10,9,7,1572,856,1404,841,1725,871
a,1582,841,1603,871,10,9,8,1592,856,1404,841,1725,871
c,1604,841,1623,871,10,9,9,1613,856,1404,841,1725,871
i,1624,841,1644,871,10,9,10,1634,856,1404,841,1725,871
o,1645,841,1665,871,10,9,11,1655,856,1404,841,1725,871
n,1666,841,1684,871,10,9,12,1675,856,1404,841,1725,871
g,43,925,62,964,11,1,0,52,944,43,925,240,964
e,63,925,82,964,11,1,1,72,944,43,925,240,964
n,83,925,101,964,11,1,2,92,944,43,925,240,964
é,102,925,121,964,11,1,3,111,944,43,925,240,964
t,122,925,139,964,11,1,4,130,944,43,925,240,964
i,140,925,160,964,11,1,5,150,944,43,925,240,964
c,161,925,180,964,11,1,6,170,944,43,925,240,964
a,181,925,202,964,11,1,7,191,944,43,925,240,964
 ,240,932,270,955,11,2,0,255,943,240,932,270,955
n,271,932,294,955,11,2,0,282,943,271,932,315,955
o,295,932,320,955,11,2,1,307,943,271,932,315,955
 ,315,925,344,955,11,3,0,329,940,315,925,344,955
a,345,925,372,955,11,3,0,358,940,345,925,685,955
m,373,925,394,955,11,3,1,383,940,345,925,685,955
b,395,925,413,955,11,3,2,404,940,345,925,685,955
i,414,925,434,955,11,3,3,424,940,345,925,685,955
e,435,925,454,955,11,3,4,444,940,345,925,685,955
n,455,925,473,955,11,3,5,464,940,345,925,685,955
t,474,925,491,955,11,3,6,482,940,345,925,685,955
a,492,925,513,955,11,3,7,502,940,345,925,685,955
l,514,925,532,955,11,3,8,523,940,345,925,685,955
i,533,925,553,955,11,3,9,543,940,345,925,685,955
s,554,925,572,955,11,3,10,563,940,345,925,685,955
t,573,925,590,955,11,3,11,581,940,345,925,685,955
a,591,925,612,955,11,3,12,601,940,345,925,685,955
.,613,925,618,955,11,3,13,615,940,345,925,685,955
