Character,X_Start,Y_Start,X_End,Y_End,Line_Number,Word_Number,Char_Number_in_Word,X_Center,Y_Center
C,10,350,48,404,0,0,1,29.0,369.0
a,48,350,86,404,0,0,2,67.0,364.5
m,86,350,126,403,0,0,3,107.0,364.0
b,128,350,166,404,0,0,4,147.5,370.0
i,167,350,205,403,0,0,5,186.0,369.5
o,205,350,243,404,0,0,6,224.0,364.5
s,243,350,281,404,0,0,7,262.0,364.5
 ,281,350,319,403,0,0,8,300.0,350.0
C,319,350,357,404,0,0,9,338.0,369.0
l,357,350,395,403,0,0,10,376.0,369.5
i,395,350,433,403,0,0,11,414.0,369.5
m,433,350,473,403,0,0,12,454.0,364.0
á,475,350,513,404,0,0,13,494.0,371.5
t,513,350,551,404,0,0,14,532.0,369.0
i,551,350,589,403,0,0,15,570.0,369.5
c,589,350,627,404,0,0,16,608.0,364.5
o,627,350,665,404,0,0,17,646.0,364.5
s,665,350,703,404,0,0,18,684.0,364.5
 ,703,350,741,403,0,0,19,722.0,350.0
c,741,350,779,404,0,0,20,760.0,364.5
o,779,350,817,404,0,0,21,798.0,364.5
m,817,350,857,403,0,0,22,838.0,364.0
o,859,350,897,404,0,0,23,878.0,364.5
 ,897,350,935,403,0,0,24,916.0,350.0
C,935,350,973,404,0,0,25,954.0,369.0
a,973,350,1011,404,0,0,26,992.0,364.5
u,1011,350,1049,404,0,0,27,1030.0,364.0
s,1049,350,1087,404,0,0,28,1068.0,364.5
a,1087,350,1125,404,0,0,29,1106.0,364.5
 ,1125,350,1163,403,0,0,30,1144.0,350.0
d,1163,350,1202,404,0,0,31,1182.5,370.0
e,1202,350,1240,404,0,0,32,1221.0,364.5
 ,1240,350,1278,403,0,0,33,1259.0,350.0
l,1278,350,1316,403,0,0,34,1297.0,369.5
a,1316,350,1354,404,0,0,35,1335.0,364.5
 ,1354,350,1392,403,0,0,36,1373.0,350.0
E,1392,350,1430,403,0,0,37,1411.0,368.0
x,1430,350,1468,403,0,0,38,1449.0,363.5
t,1468,350,1506,404,0,0,39,1487.0,369.0
i,1506,350,1544,403,0,0,40,1525.0,369.5
n,1544,350,1582,403,0,0,41,1563.0,364.0
c,1582,350,1620,404,0,0,42,1601.0,364.5
i,1620,350,1658,403,0,0,43,1639.0,369.5
ó,1658,350,1696,404,0,0,44,1677.0,371.5
n,1696,350,1734,403,0,0,45,1715.0,364.0
A,10,476,48,529,1,1,1,29.0,494.0
n,48,476,86,529,1,1,2,67.0,490.0
t,86,476,124,530,1,1,3,105.0,494.5
e,124,476,162,530,1,1,4,143.0,490.5
 ,162,476,200,529,1,1,0,181.0,476.0
l,200,476,238,529,1,2,1,219.0,495.5
o,238,476,276,530,1,2,2,257.0,490.5
s,276,476,314,530,1,2,3,295.0,490.5
 ,314,476,352,529,1,2,0,333.0,476.0
p,352,476,390,541,1,3,1,371.0,496.0
u,390,476,428,530,1,3,2,409.0,490.0
n,428,476,466,529,1,3,3,447.0,490.0
t,466,476,504,530,1,3,4,485.0,494.5
o,504,476,542,530,1,3,5,523.0,490.5
s,542,476,580,530,1,3,6,561.0,490.5
 ,580,476,618,529,1,3,0,599.0,476.0
d,618,476,656,530,1,4,1,637.0,496.0
é,656,476,694,530,1,4,2,675.0,496.5
b,694,476,732,530,1,4,3,713.0,496.0
i,732,476,770,529,1,4,4,751.0,496.5
l,770,476,808,529,1,4,5,789.0,495.5
e,808,476,846,530,1,4,6,827.0,490.5
s,846,476,884,530,1,4,7,865.0,490.5
 ,884,476,922,529,1,4,0,903.0,476.0
d,922,476,960,530,1,5,1,941.0,496.0
e,960,476,998,530,1,5,2,979.0,490.5
l,998,476,1036,529,1,5,3,1017.0,495.5
 ,1036,476,1074,529,1,5,0,1055.0,476.0
p,1074,476,1112,541,1,6,1,1093.0,496.0
a,1112,476,1150,530,1,6,2,1131.0,490.5
r,1150,476,1188,529,1,6,3,1169.0,490.0
a,1188,476,1226,530,1,6,4,1207.0,490.5
d,1226,476,1264,530,1,6,5,1245.0,496.0
i,1264,476,1302,529,1,6,6,1283.0,496.5
g,1302,476,1340,541,1,6,7,1321.0,496.0
m,1340,476,1378,529,1,6,8,1359.0,490.0
a,1378,476,1416,530,1,6,9,1397.0,490.5
 ,1416,476,1454,529,1,6,0,1435.0,476.0
d,1454,476,1492,530,1,7,1,1473.0,496.0
e,1492,476,1530,530,1,7,2,1511.0,490.5
 ,1530,476,1568,529,1,7,0,1549.0,476.0
l,1568,476,1606,529,1,8,1,1587.0,495.5
a,1606,476,1644,530,1,8,2,1625.0,490.5
 ,1644,476,1682,529,1,8,0,1663.0,476.0
e,1682,476,1720,530,1,9,1,1701.0,490.5
x,1720,476,1758,529,1,9,2,1739.0,489.5
c,1758,476,1796,530,1,9,3,1777.0,490.5
l,1796,476,1834,529,1,9,4,1815.0,495.5
u,1834,476,1872,530,1,9,5,1853.0,490.0
s,1872,476,1910,530,1,9,6,1891.0,490.5
i,1910,476,1948,529,1,9,7,1929.0,496.5
ó,1948,476,1986,530,1,9,8,1967.0,496.5
n,1986,476,2024,529,1,9,9,2005.0,490.0
 ,2024,476,2062,529,1,9,0,2043.0,476.0
c,2062,476,2100,530,1,10,1,2081.0,490.5
o,2100,476,2138,530,1,10,2,2119.0,490.5
m,2138,476,2176,529,1,10,3,2157.0,490.0
p,2176,476,2214,541,1,10,4,2195.0,496.0
e,2214,476,2252,530,1,10,5,2233.0,490.5
t,2252,476,2290,530,1,10,6,2271.0,494.5
i,2290,476,2328,529,1,10,7,2309.0,496.5
t,2328,476,2366,530,1,10,8,2347.0,494.5
i,2366,476,2404,529,1,10,9,2385.0,496.5
v,2404,476,2442,529,1,10,10,2423.0,489.5
a,2442,476,2480,530,1,10,11,2461.0,490.5
",",2480,476,2518,538,1,10,12,2499.0,485.5
 ,2518,476,2556,529,1,10,0,2537.0,476.0
o,2556,476,2594,530,1,11,1,2575.0,490.5
t,2594,476,2632,530,1,11,2,2613.0,494.5
r,2632,476,2670,529,1,11,3,2651.0,490.0
a,2670,476,2708,530,1,11,4,2689.0,490.5
s,2708,476,2746,530,1,11,5,2727.0,490.5
 ,2746,476,2784,529,1,11,0,2765.0,476.0
i,2784,476,2822,529,1,12,1,2803.0,496.5
n,2822,476,2860,529,1,12,2,2841.0,490.0
t,2860,476,2898,530,1,12,3,2879.0,494.5
e,2898,476,2936,530,1,12,4,2917.0,490.5
r,2936,476,2974,529,1,12,5,2955.0,490.0
p,2974,476,3012,541,1,12,6,2993.0,496.0
r,3012,476,3050,529,1,12,7,3031.0,490.0
e,3050,476,3088,530,1,12,8,3069.0,490.5
t,3088,476,3126,530,1,12,9,3107.0,494.5
a,3126,476,3164,530,1,12,10,3145.0,490.5
c,3164,476,3202,530,1,12,11,3183.0,490.5
i,3202,476,3240,529,1,12,12,3221.0,496.5
o,3240,476,3278,530,1,12,13,3259.0,490.5
n,3278,476,3316,529,1,12,14,3297.0,490.0
e,3316,476,3354,530,1,12,15,3335.0,490.5
s,3354,476,3392,530,1,12,16,3373.0,490.5
a,10,602,48,656,2,13,1,29.0,616.5
l,48,602,86,655,2,13,2,67.0,621.5
t,86,602,124,656,2,13,3,105.0,620.5
e,124,602,162,656,2,13,4,143.0,616.5
r,162,602,200,655,2,13,5,181.0,616.0
n,200,602,238,655,2,13,6,219.0,616.0
a,238,602,276,656,2,13,7,257.0,616.5
t,276,602,314,656,2,13,8,295.0,620.5
i,314,602,352,655,2,13,9,333.0,622.5
v,352,602,390,655,2,13,10,371.0,615.5
a,390,602,428,656,2,13,11,409.0,616.5
s,428,602,466,656,2,13,12,447.0,616.5
 ,466,602,504,655,2,13,0,485.0,602.0
p,504,602,542,667,2,14,1,523.0,622.0
r,542,602,580,655,2,14,2,561.0,616.0
e,580,602,618,656,2,14,3,599.0,616.5
t,618,602,656,656,2,14,4,637.0,620.5
e,656,602,694,656,2,14,5,675.0,616.5
n,694,602,732,655,2,14,6,713.0,616.0
d,732,602,770,656,2,14,7,751.0,622.0
e,770,602,808,656,2,14,8,789.0,616.5
n,808,602,846,655,2,14,9,827.0,616.0
 ,846,602,884,655,2,14,0,865.0,602.0
a,884,602,922,656,2,15,1,903.0,616.5
r,922,602,960,655,2,15,2,941.0,616.0
r,960,602,998,655,2,15,3,979.0,616.0
o,998,602,1036,656,2,15,4,1017.0,616.5
j,1036,602,1074,667,2,15,5,1055.0,628.5
a,1074,602,1112,656,2,15,6,1093.0,616.5
r,1112,602,1150,655,2,15,7,1131.0,616.0
 ,1150,602,1188,655,2,15,0,1169.0,602.0
l,1188,602,1226,655,2,16,1,1207.0,621.5
u,1226,602,1264,656,2,16,2,1245.0,616.0
z,1264,602,1302,655,2,16,3,1283.0,615.5
 ,1302,602,1340,655,2,16,0,1321.0,602.0
s,1340,602,1378,656,2,17,1,1359.0,616.5
o,1378,602,1416,656,2,17,2,1397.0,616.5
b,1416,602,1454,656,2,17,3,1435.0,622.0
r,1454,602,1492,655,2,17,4,1473.0,616.0
e,1492,602,1530,656,2,17,5,1511.0,616.5
 ,1530,602,1568,655,2,17,0,1549.0,602.0
e,1568,602,1606,656,2,18,1,1587.0,616.5
s,1606,602,1644,656,2,18,2,1625.0,616.5
t,1644,602,1682,656,2,18,3,1663.0,620.5
a,1682,602,1720,656,2,18,4,1701.0,616.5
 ,1720,602,1758,655,2,18,0,1739.0,602.0
c,1758,602,1796,656,2,19,1,1777.0,616.5
u,1796,602,1834,656,2,19,2,1815.0,616.0
e,1834,602,1872,656,2,19,3,1853.0,616.5
s,1872,602,1910,656,2,19,4,1891.0,616.5
t,1910,602,1948,656,2,19,5,1929.0,620.5
i,1948,602,1986,655,2,19,6,1967.0,622.5
ó,1986,602,2024,656,2,19,7,2005.0,622.5
n,2024,602,2062,655,2,19,8,2043.0,616.0
.,2062,602,2100,656,2,19,9,2081.0,606.0
 ,2100,602,2138,655,2,19,0,2119.0,602.0
D,2138,602,2176,655,2,20,1,2157.0,620.0
e,2176,602,2214,656,2,20,2,2195.0,616.5
s,2214,602,2252,656,2,20,3,2233.0,616.5
t,2252,602,2290,656,2,20,4,2271.0,620.5
a,2290,602,2328,656,2,20,5,2309.0,616.5
