Character,X_Start,Y_Start,X_End,Y_End,Line_Number,Word_Number,Char_Number_in_Word,X_Center,Y_Center
C,10,350,48,404,0,0,1,29.0,369.0
o,48,350,86,404,0,0,2,67.0,364.5
m,86,350,126,403,0,0,3,107.0,364.0
p,128,350,166,415,0,0,4,147.5,370.0
e,167,350,205,404,0,0,5,186.0,364.5
t,205,350,243,404,0,0,6,224.0,369.0
e,243,350,281,404,0,0,7,262.0,364.5
n,281,350,319,403,0,0,8,300.0,364.0
c,319,350,357,404,0,0,9,338.0,364.5
i,357,350,395,403,0,0,10,376.0,369.5
a,395,350,433,404,0,0,11,414.0,364.5
 ,433,350,471,403,0,0,12,452.0,350.0
c,471,350,509,404,0,0,13,490.0,364.5
o,509,350,547,404,0,0,14,528.0,364.5
n,547,350,585,403,0,0,15,566.0,364.0
 ,585,350,623,403,0,0,16,604.0,350.0
l,623,350,661,403,0,0,17,642.0,369.5
o,661,350,699,404,0,0,18,680.0,364.5
s,699,350,737,404,0,0,19,718.0,364.5
 ,737,350,775,403,0,0,20,756.0,350.0
H,775,350,813,403,0,0,21,794.0,368.0
u,813,350,851,404,0,0,22,832.0,364.0
m,851,350,891,403,0,0,23,872.0,364.0
a,893,350,931,404,0,0,24,912.0,364.5
n,931,350,969,403,0,0,25,950.0,364.0
o,969,350,1007,404,0,0,26,988.0,364.5
s,1007,350,1045,404,0,0,27,1026.0,364.5
 ,1045,350,1083,403,0,0,28,1064.0,350.0
M,1083,350,1123,403,0,0,29,1104.0,368.0
o,1125,350,1163,404,0,0,30,1144.0,364.5
d,1163,350,1202,404,0,0,31,1182.5,370.0
e,1202,350,1240,404,0,0,32,1221.0,364.5
r,1240,350,1278,403,0,0,33,1259.0,364.0
n,1278,350,1316,403,0,0,34,1297.0,364.0
o,1316,350,1354,404,0,0,35,1335.0,364.5
s,1354,350,1392,404,0,0,36,1373.0,364.5
E,10,476,48,529,1,1,1,29.0,494.0
l,48,476,86,529,1,1,2,67.0,495.5
 ,86,476,124,529,1,1,0,105.0,476.0
p,124,476,162,541,1,2,1,143.0,496.0
