Character,X_Start,Y_Start,X_End,Y_End,Line_Number,Word_Number,Char_Number_in_Word,X_Center,Y_Center
L,1146.5,350,1184.5,403,0,0,1,1165.5,368.0
a,1184.5,350,1222.5,404,0,0,2,1203.5,364.5
 ,1222.5,350,1260.5,403,0,0,3,1241.5,350.0
e,1260.5,350,1298.5,404,0,0,4,1279.5,364.5
x,1298.5,350,1336.5,403,0,0,5,1317.5,363.5
t,1336.5,350,1374.5,404,0,0,6,1355.5,369.0
i,1374.5,350,1412.5,403,0,0,7,1393.5,369.5
n,1412.5,350,1450.5,403,0,0,8,1431.5,364.0
c,1450.5,350,1488.5,404,0,0,9,1469.5,364.5
i,1488.5,350,1526.5,403,0,0,10,1507.5,369.5
ó,1526.5,350,1564.5,404,0,0,11,1545.5,371.5
n,1564.5,350,1602.5,403,0,0,12,1583.5,364.0
 ,1602.5,350,1640.5,403,0,0,13,1621.5,350.0
d,1640.5,350,1679.5,404,0,0,14,1660.0,370.0
e,1679.5,350,1717.5,404,0,0,15,1698.5,364.5
 ,1717.5,350,1755.5,403,0,0,16,1736.5,350.0
l,1755.5,350,1793.5,403,0,0,17,1774.5,369.5
o,1793.5,350,1831.5,404,0,0,18,1812.5,364.5
s,1831.5,350,1869.5,404,0,0,19,1850.5,364.5
 ,1869.5,350,1907.5,403,0,0,20,1888.5,350.0
n,1907.5,350,1945.5,403,0,0,21,1926.5,364.0
e,1945.5,350,1983.5,404,0,0,22,1964.5,364.5
a,1983.5,350,2021.5,404,0,0,23,2002.5,364.5
n,2021.5,350,2059.5,403,0,0,24,2040.5,364.0
d,2059.5,350,2098.5,404,0,0,25,2079.0,370.0
e,2098.5,350,2136.5,404,0,0,26,2117.5,364.5
r,2136.5,350,2174.5,403,0,0,27,2155.5,364.0
t,2174.5,350,2212.5,404,0,0,28,2193.5,369.0
a,2212.5,350,2250.5,404,0,0,29,2231.5,364.5
l,2250.5,350,2288.5,403,0,0,30,2269.5,369.5
e,2288.5,350,2326.5,404,0,0,31,2307.5,364.5
s,2326.5,350,2364.5,404,0,0,32,2345.5,364.5
E,10,602,48,655,1,1,1,29.0,620.0
l,48,602,86,655,1,1,2,67.0,621.5
 ,86,602,124,655,1,1,0,105.0,602.0
i,124,602,162,655,1,2,1,143.0,622.5
n,162,602,200,655,1,2,2,181.0,616.0
t,200,602,238,656,1,2,3,219.0,620.5
e,238,602,276,656,1,2,4,257.0,616.5
r,276,602,314,655,1,2,5,295.0,616.0
é,314,602,352,656,1,2,6,333.0,622.5
s,352,602,390,656,1,2,7,371.0,616.5
 ,390,602,428,655,1,2,0,409.0,602.0
p,428,602,466,667,1,3,1,447.0,622.0
o,466,602,504,656,1,3,2,485.0,616.5
r,504,602,542,655,1,3,3,523.0,616.0
 ,542,602,580,655,1,3,0,561.0,602.0
l,580,602,618,655,1,4,1,599.0,621.5
a,618,602,656,656,1,4,2,637.0,616.5
 ,656,602,694,655,1,4,0,675.0,602.0
e,694,602,732,656,1,5,1,713.0,616.5
x,732,602,770,655,1,5,2,751.0,615.5
t,770,602,808,656,1,5,3,789.0,620.5
i,808,602,846,655,1,5,4,827.0,622.5
n,846,602,884,655,1,5,5,865.0,616.0
c,884,602,922,656,1,5,6,903.0,616.5
i,922,602,960,655,1,5,7,941.0,622.5
ó,960,602,998,656,1,5,8,979.0,622.5
n,998,602,1036,655,1,5,9,1017.0,616.0
