Character,X_Start,Y_Start,X_End,Y_End,Line_Number,Word_Number,Char_Number_in_Word,X_Center,Y_Center
S,10,350,48,404,1,1,1,29.0,369.0
e,48,350,86,404,1,1,2,67.0,364.5
g,86,350,124,415,1,1,3,105.0,370.0
ú,124,350,162,404,1,1,4,143.0,370.5
n,162,350,200,403,1,1,5,181.0,364.0
 ,200,350,238,403,1,1,0,219.0,350.0
u,238,350,276,404,1,2,1,257.0,364.0
n,276,350,314,403,1,2,2,295.0,364.0
a,314,350,352,404,1,2,3,333.0,364.5
 ,352,350,390,403,1,2,0,371.0,350.0
y,390,350,428,415,1,3,1,409.0,369.5
a,428,350,466,404,1,3,2,447.0,364.5
 ,466,350,504,403,1,3,0,485.0,350.0
l,504,350,542,403,1,4,1,523.0,369.5
a,542,350,580,404,1,4,2,561.0,364.5
r,580,350,618,403,1,4,3,599.0,364.0
g,618,350,656,415,1,4,4,637.0,370.0
a,656,350,694,404,1,4,5,675.0,364.5
 ,694,350,732,403,1,4,0,713.0,350.0
t,732,350,770,404,1,5,1,751.0,368.5
r,770,350,808,403,1,5,2,789.0,364.0
a,808,350,846,404,1,5,3,827.0,364.5
d,846,350,884,404,1,5,4,865.0,370.0
i,884,350,922,403,1,5,5,903.0,370.5
c,922,350,960,404,1,5,6,941.0,364.5
i,960,350,998,403,1,5,7,979.0,370.5
ó,998,350,1036,404,1,5,8,1017.0,370.5
n,1036,350,1074,403,1,5,9,1055.0,364.0
 ,1074,350,1112,403,1,5,0,1093.0,350.0
c,1112,350,1150,404,1,6,1,1131.0,364.5
i,1150,350,1188,403,1,6,2,1169.0,370.5
e,1188,350,1226,404,1,6,3,1207.0,364.5
n,1226,350,1264,403,1,6,4,1245.0,364.0
t,1264,350,1302,404,1,6,5,1283.0,368.5
í,1302,350,1340,403,1,6,6,1321.0,370.0
f,1340,350,1378,403,1,6,7,1359.0,369.5
i,1378,350,1416,403,1,6,8,1397.0,370.5
c,1416,350,1454,404,1,6,9,1435.0,364.5
a,1454,350,1492,404,1,6,10,1473.0,364.5
",",1492,350,1530,412,1,6,11,1511.0,359.5
 ,1530,350,1568,403,1,6,0,1549.0,350.0
l,1568,350,1606,403,1,7,1,1587.0,369.5
a,1606,350,1644,404,1,7,2,1625.0,364.5
