Character,X_Start,Y_Start,X_End,Y_End,Line_Number,Word_Number,Char_Number_in_Word,X_Center,Y_Center
E,10,350,48,403,1,1,1,29.0,368.0
n,48,350,86,403,1,1,2,67.0,364.0
 ,86,350,124,403,1,1,0,105.0,350.0
e,124,350,162,404,1,2,1,143.0,364.5
s,162,350,200,404,1,2,2,181.0,364.5
t,200,350,238,404,1,2,3,219.0,368.5
e,238,350,276,404,1,2,4,257.0,364.5
 ,276,350,314,403,1,2,0,295.0,350.0
m,314,350,352,403,1,3,1,333.0,364.0
a,352,350,390,404,1,3,2,371.0,364.5
r,390,350,428,403,1,3,3,409.0,364.0
c,428,350,466,404,1,3,4,447.0,364.5
o,466,350,504,404,1,3,5,485.0,364.5
",",504,350,542,412,1,3,6,523.0,359.5
 ,542,350,580,403,1,3,0,561.0,350.0
l,580,350,618,403,1,4,1,599.0,369.5
a,618,350,656,404,1,4,2,637.0,364.5
 ,656,350,694,403,1,4,0,675.0,350.0
d,694,350,732,404,1,5,1,713.0,370.0
e,732,350,770,404,1,5,2,751.0,364.5
s,770,350,808,404,1,5,3,789.0,364.5
a,808,350,846,404,1,5,4,827.0,364.5
p,846,350,884,415,1,5,5,865.0,370.0
a,884,350,922,404,1,5,6,903.0,364.5
r,922,350,960,403,1,5,7,941.0,364.0
i,960,350,998,403,1,5,8,979.0,370.5
c,998,350,1036,404,1,5,9,1017.0,364.5
i,1036,350,1074,403,1,5,10,1055.0,370.5
ó,1074,350,1112,404,1,5,11,1093.0,370.5
n,1112,350,1150,403,1,5,12,1131.0,364.0
 ,1150,350,1188,403,1,5,0,1169.0,350.0
d,1188,350,1226,404,1,6,1,1207.0,370.0
e,1226,350,1264,404,1,6,2,1245.0,364.5
 ,1264,350,1302,403,1,6,0,1283.0,350.0
l,1302,350,1340,403,1,7,1,1321.0,369.5
o,1340,350,1378,404,1,7,2,1359.0,364.5
s,1378,350,1416,404,1,7,3,1397.0,364.5
