Character,X_Start,Y_Start,X_End,Y_End,Line_Number,Word_Number,Char_Number_in_Word,X_Center,Y_Center
H,10,350,48,403,1,1,1,29.0,368.0
a,48,350,86,404,1,1,2,67.0,364.5
y,86,350,124,415,1,1,3,105.0,369.5
 ,124,350,162,403,1,1,0,143.0,350.0
m,162,350,200,403,1,2,1,181.0,364.0
u,200,350,238,404,1,2,2,219.0,364.0
y,238,350,276,415,1,2,3,257.0,369.5
 ,276,350,314,403,1,2,0,295.0,350.0
p,314,350,352,415,1,3,1,333.0,370.0
o,352,350,390,404,1,3,2,371.0,364.5
c,390,350,428,404,1,3,3,409.0,364.5
a,428,350,466,404,1,3,4,447.0,364.5
 ,466,350,504,403,1,3,0,485.0,350.0
e,504,350,542,404,1,4,1,523.0,364.5
v,542,350,580,403,1,4,2,561.0,363.5
i,580,350,618,403,1,4,3,599.0,370.5
d,618,350,656,404,1,4,4,637.0,370.0
e,656,350,694,404,1,4,5,675.0,364.5
n,694,350,732,403,1,4,6,713.0,364.0
c,732,350,770,404,1,4,7,751.0,364.5
i,770,350,808,403,1,4,8,789.0,370.5
a,808,350,846,404,1,4,9,827.0,364.5
 ,846,350,884,403,1,4,0,865.0,350.0
d,884,350,922,404,1,5,1,903.0,370.0
e,922,350,960,404,1,5,2,941.0,364.5
 ,960,350,998,403,1,5,0,979.0,350.0
a,998,350,1036,404,1,6,1,1017.0,364.5
c,1036,350,1074,404,1,6,2,1055.0,364.5
t,1074,350,1112,404,1,6,3,1093.0,368.5
o,1112,350,1150,404,1,6,4,1131.0,364.5
s,1150,350,1188,404,1,6,5,1169.0,364.5
 ,1188,350,1226,403,1,6,0,1207.0,350.0
d,1226,350,1264,404,1,7,1,1245.0,370.0
e,1264,350,1302,404,1,7,2,1283.0,364.5
 ,1302,350,1340,403,1,7,0,1321.0,350.0
v,1340,350,1378,403,1,8,1,1359.0,363.5
i,1378,350,1416,403,1,8,2,1397.0,370.5
o,1416,350,1454,404,1,8,3,1435.0,364.5
l,1454,350,1492,403,1,8,4,1473.0,369.5
e,1492,350,1530,404,1,8,5,1511.0,364.5
n,1530,350,1568,403,1,8,6,1549.0,364.0
c,1568,350,1606,404,1,8,7,1587.0,364.5
i,1606,350,1644,403,1,8,8,1625.0,370.5
a,1644,350,1682,404,1,8,9,1663.0,364.5
 ,1682,350,1720,403,1,8,0,1701.0,350.0
o,1720,350,1758,404,1,9,1,1739.0,364.5
 ,1758,350,1796,403,1,9,0,1777.0,350.0
a,1796,350,1834,404,1,10,1,1815.0,364.5
g,1834,350,1872,415,1,10,2,1853.0,370.0
r,1872,350,1910,403,1,10,3,1891.0,364.0
e,1910,350,1948,404,1,10,4,1929.0,364.5
s,1948,350,1986,404,1,10,5,1967.0,364.5
i,1986,350,2024,403,1,10,6,2005.0,370.5
ó,2024,350,2062,404,1,10,7,2043.0,370.5
n,2062,350,2100,403,1,10,8,2081.0,364.0
 ,2100,350,2138,403,1,10,0,2119.0,350.0
e,2138,350,2176,404,1,11,1,2157.0,364.5
n,2176,350,2214,403,1,11,2,2195.0,364.0
t,2214,350,2252,404,1,11,3,2233.0,368.5
r,2252,350,2290,403,1,11,4,2271.0,364.0
e,2290,350,2328,404,1,11,5,2309.0,364.5
 ,2328,350,2366,403,1,11,0,2347.0,350.0
n,2366,350,2404,403,1,12,1,2385.0,364.0
e,2404,350,2442,404,1,12,2,2423.0,364.5
a,2442,350,2480,404,1,12,3,2461.0,364.5
n,2480,350,2518,403,1,12,4,2499.0,364.0
d,2518,350,2556,404,1,12,5,2537.0,370.0
e,2556,350,2594,404,1,12,6,2575.0,364.5
r,2594,350,2632,403,1,12,7,2613.0,364.0
t,2632,350,2670,404,1,12,8,2651.0,368.5
a,2670,350,2708,404,1,12,9,2689.0,364.5
l,2708,350,2746,403,1,12,10,2727.0,369.5
e,2746,350,2784,404,1,12,11,2765.0,364.5
s,2784,350,2822,404,1,12,12,2803.0,364.5
 ,2822,350,2860,403,1,12,0,2841.0,350.0
y,2860,350,2898,415,1,13,1,2879.0,369.5
 ,2898,350,2936,403,1,13,0,2917.0,350.0
H,2936,350,2974,403,1,14,1,2955.0,368.0
o,2974,350,3012,404,1,14,2,2993.0,364.5
m,3012,350,3050,403,1,14,3,3031.0,364.0
o,3050,350,3088,404,1,14,4,3069.0,364.5
