Character,X_Start,Y_Start,X_End,Y_End,Line_Number,Word_Number,Char_Number_in_Word,X_Center,Y_Center
L,10,350,48,403,1,1,1,29.0,368.0
a,48,350,86,404,1,1,2,67.0,364.5
 ,86,350,124,403,1,1,0,105.0,350.0
t,124,350,162,404,1,2,1,143.0,368.5
e,162,350,200,404,1,2,2,181.0,364.5
o,200,350,238,404,1,2,3,219.0,364.5
r,238,350,276,403,1,2,4,257.0,364.0
í,276,350,314,403,1,2,5,295.0,370.0
a,314,350,352,404,1,2,6,333.0,364.5
 ,352,350,390,403,1,2,0,371.0,350.0
d,390,350,428,404,1,3,1,409.0,370.0
o,428,350,466,404,1,3,2,447.0,364.5
m,466,350,504,403,1,3,3,485.0,364.0
i,504,350,542,403,1,3,4,523.0,370.5
n,542,350,580,403,1,3,5,561.0,364.0
a,580,350,618,404,1,3,6,599.0,364.5
n,618,350,656,403,1,3,7,637.0,364.0
t,656,350,694,404,1,3,8,675.0,368.5
e,694,350,732,404,1,3,9,713.0,364.5
 ,732,350,770,403,1,3,0,751.0,350.0
s,770,350,808,404,1,4,1,789.0,364.5
o,808,350,846,404,1,4,2,827.0,364.5
b,846,350,884,404,1,4,3,865.0,370.0
r,884,350,922,403,1,4,4,903.0,364.0
e,922,350,960,404,1,4,5,941.0,364.5
 ,960,350,998,403,1,4,0,979.0,350.0
l,998,350,1036,403,1,5,1,1017.0,369.5
a,1036,350,1074,404,1,5,2,1055.0,364.5
s,1074,350,1112,404,1,5,3,1093.0,364.5
 ,1112,350,1150,403,1,5,0,1131.0,350.0
c,1150,350,1188,404,1,6,1,1169.0,364.5
a,1188,350,1226,404,1,6,2,1207.0,364.5
u,1226,350,1264,404,1,6,3,1245.0,364.0
s,1264,350,1302,404,1,6,4,1283.0,364.5
a,1302,350,1340,404,1,6,5,1321.0,364.5
s,1340,350,1378,404,1,6,6,1359.0,364.5
 ,1378,350,1416,403,1,6,0,1397.0,350.0
q,1416,350,1454,415,1,7,1,1435.0,370.0
u,1454,350,1492,404,1,7,2,1473.0,364.0
e,1492,350,1530,404,1,7,3,1511.0,364.5
 ,1530,350,1568,403,1,7,0,1549.0,350.0
e,1568,350,1606,404,1,8,1,1587.0,364.5
x,1606,350,1644,403,1,8,2,1625.0,363.5
p,1644,350,1682,415,1,8,3,1663.0,370.0
l,1682,350,1720,403,1,8,4,1701.0,369.5
i,1720,350,1758,403,1,8,5,1739.0,370.5
c,1758,350,1796,404,1,8,6,1777.0,364.5
a,1796,350,1834,404,1,8,7,1815.0,364.5
n,1834,350,1872,403,1,8,8,1853.0,364.0
 ,1872,350,1910,403,1,8,0,1891.0,350.0
l,1910,350,1948,403,1,9,1,1929.0,369.5
a,1948,350,1986,404,1,9,2,1967.0,364.5
 ,1986,350,2024,403,1,9,0,2005.0,350.0
e,2024,350,2062,404,1,10,1,2043.0,364.5
x,2062,350,2100,403,1,10,2,2081.0,363.5
t,2100,350,2138,404,1,10,3,2119.0,368.5
i,2138,350,2176,403,1,10,4,2157.0,370.5
