Character,X_Start,Y_Start,X_End,Y_End,Line_Number,Word_Number,Char_Number_in_Word,X_Center,Y_Center
E,10,350,48,403,1,1,1,29.0,368.0
n,48,350,86,403,1,1,2,67.0,364.0
 ,86,350,124,403,1,1,0,105.0,350.0
m,124,350,162,403,1,2,1,143.0,364.0
o,162,350,200,404,1,2,2,181.0,364.5
m,200,350,238,403,1,2,3,219.0,364.0
e,238,350,276,404,1,2,4,257.0,364.5
n,276,350,314,403,1,2,5,295.0,364.0
t,314,350,352,404,1,2,6,333.0,368.5
o,352,350,390,404,1,2,7,371.0,364.5
s,390,350,428,404,1,2,8,409.0,364.5
 ,428,350,466,403,1,2,0,447.0,350.0
d,466,350,504,404,1,3,1,485.0,370.0
e,504,350,542,404,1,3,2,523.0,364.5
 ,542,350,580,403,1,3,0,561.0,350.0
f,580,350,618,403,1,4,1,599.0,369.5
u,618,350,656,404,1,4,2,637.0,364.0
e,656,350,694,404,1,4,3,675.0,364.5
r,694,350,732,403,1,4,4,713.0,364.0
t,732,350,770,404,1,4,5,751.0,368.5
e,770,350,808,404,1,4,6,789.0,364.5
 ,808,350,846,403,1,4,0,827.0,350.0
c,846,350,884,404,1,5,1,865.0,364.5
o,884,350,922,404,1,5,2,903.0,364.5
m,922,350,960,403,1,5,3,941.0,364.0
p,960,350,998,415,1,5,4,979.0,370.0
e,998,350,1036,404,1,5,5,1017.0,364.5
t,1036,350,1074,404,1,5,6,1055.0,368.5
e,1074,350,1112,404,1,5,7,1093.0,364.5
n,1112,350,1150,403,1,5,8,1131.0,364.0
c,1150,350,1188,404,1,5,9,1169.0,364.5
i,1188,350,1226,403,1,5,10,1207.0,370.5
a,1226,350,1264,404,1,5,11,1245.0,364.5
 ,1264,350,1302,403,1,5,0,1283.0,350.0
e,1302,350,1340,404,1,6,1,1321.0,364.5
c,1340,350,1378,404,1,6,2,1359.0,364.5
o,1378,350,1416,404,1,6,3,1397.0,364.5
