Character,X_Start,Y_Start,X_End,Y_End,Line_Number,Word_Number,Char_Number_in_Word,X_Center,Y_Center
C,10,350,48,404,1,1,1,29.0,369.0
o,48,350,86,404,1,1,2,67.0,364.5
n,86,350,124,403,1,1,3,105.0,364.0
 ,124,350,162,403,1,1,0,143.0,350.0
e,162,350,200,404,1,2,1,181.0,364.5
l,200,350,238,403,1,2,2,219.0,369.5
 ,238,350,276,403,1,2,0,257.0,350.0
f,276,350,314,403,1,3,1,295.0,369.5
i,314,350,352,403,1,3,2,333.0,370.5
n,352,350,390,403,1,3,3,371.0,364.0
 ,390,350,428,403,1,3,0,409.0,350.0
d,428,350,466,404,1,4,1,447.0,370.0
e,466,350,504,404,1,4,2,485.0,364.5
 ,504,350,542,403,1,4,0,523.0,350.0
e,542,350,580,404,1,5,1,561.0,364.5
x,580,350,618,403,1,5,2,599.0,363.5
p,618,350,656,415,1,5,3,637.0,370.0
l,656,350,694,403,1,5,4,675.0,369.5
i,694,350,732,403,1,5,5,713.0,370.5
c,732,350,770,404,1,5,6,751.0,364.5
a,770,350,808,404,1,5,7,789.0,364.5
r,808,350,846,403,1,5,8,827.0,364.0
 ,846,350,884,403,1,5,0,865.0,350.0
l,884,350,922,403,1,6,1,903.0,369.5
o,922,350,960,404,1,6,2,941.0,364.5
s,960,350,998,404,1,6,3,979.0,364.5
 ,998,350,1036,403,1,6,0,1017.0,350.0
p,1036,350,1074,415,1,7,1,1055.0,370.0
o,1074,350,1112,404,1,7,2,1093.0,364.5
r,1112,350,1150,403,1,7,3,1131.0,364.0
m,1150,350,1188,403,1,7,4,1169.0,364.0
e,1188,350,1226,404,1,7,5,1207.0,364.5
n,1226,350,1264,403,1,7,6,1245.0,364.0
o,1264,350,1302,404,1,7,7,1283.0,364.5
r,1302,350,1340,403,1,7,8,1321.0,364.0
e,1340,350,1378,404,1,7,9,1359.0,364.5
s,1378,350,1416,404,1,7,10,1397.0,364.5
 ,1416,350,1454,403,1,7,0,1435.0,350.0
d,1454,350,1492,404,1,8,1,1473.0,370.0
e,1492,350,1530,404,1,8,2,1511.0,364.5
l,1530,350,1568,403,1,8,3,1549.0,369.5
 ,1568,350,1606,403,1,8,0,1587.0,350.0
p,1606,350,1644,415,1,9,1,1625.0,370.0
r,1644,350,1682,403,1,9,2,1663.0,364.0
