Character,X_Start,Y_Start,X_End,Y_End,Line_Number,Word_Number,Char_Number_in_Word,X_Center,Y_Center
L,10,350,48,403,1,1,1,29.0,368.0
a,48,350,86,404,1,1,2,67.0,364.5
 ,86,350,124,403,1,1,0,105.0,350.0
e,124,350,162,404,1,2,1,143.0,364.5
x,162,350,200,403,1,2,2,181.0,363.5
t,200,350,238,404,1,2,3,219.0,368.5
i,238,350,276,403,1,2,4,257.0,370.5
n,276,350,314,403,1,2,5,295.0,364.0
c,314,350,352,404,1,2,6,333.0,364.5
i,352,350,390,403,1,2,7,371.0,370.5
ó,390,350,428,404,1,2,8,409.0,370.5
n,428,350,466,403,1,2,9,447.0,364.0
 ,466,350,504,403,1,2,0,485.0,350.0
d,504,350,542,404,1,3,1,523.0,370.0
e,542,350,580,404,1,3,2,561.0,364.5
 ,580,350,618,403,1,3,0,599.0,350.0
l,618,350,656,403,1,4,1,637.0,369.5
o,656,350,694,404,1,4,2,675.0,364.5
s,694,350,732,404,1,4,3,713.0,364.5
 ,732,350,770,403,1,4,0,751.0,350.0
n,770,350,808,403,1,5,1,789.0,364.0
e,808,350,846,404,1,5,2,827.0,364.5
a,846,350,884,404,1,5,3,865.0,364.5
n,884,350,922,403,1,5,4,903.0,364.0
d,922,350,960,404,1,5,5,941.0,370.0
e,960,350,998,404,1,5,6,979.0,364.5
r,998,350,1036,403,1,5,7,1017.0,364.0
t,1036,350,1074,404,1,5,8,1055.0,368.5
a,1074,350,1112,404,1,5,9,1093.0,364.5
l,1112,350,1150,403,1,5,10,1131.0,369.5
e,1150,350,1188,404,1,5,11,1169.0,364.5
s,1188,350,1226,404,1,5,12,1207.0,364.5
 ,1226,350,1264,403,1,5,0,1245.0,350.0
d,1264,350,1302,404,1,6,1,1283.0,370.0
u,1302,350,1340,404,1,6,2,1321.0,364.0
r,1340,350,1378,403,1,6,3,1359.0,364.0
a,1378,350,1416,404,1,6,4,1397.0,364.5
n,1416,350,1454,403,1,6,5,1435.0,364.0
t,1454,350,1492,404,1,6,6,1473.0,368.5
e,1492,350,1530,404,1,6,7,1511.0,364.5
 ,1530,350,1568,403,1,6,0,1549.0,350.0
l,1568,350,1606,403,1,7,1,1587.0,369.5
o,1606,350,1644,404,1,7,2,1625.0,364.5
s,1644,350,1682,404,1,7,3,1663.0,364.5
 ,1682,350,1720,403,1,7,0,1701.0,350.0
m,1720,350,1758,403,1,8,1,1739.0,364.0
o,1758,350,1796,404,1,8,2,1777.0,364.5
m,1796,350,1834,403,1,8,3,1815.0,364.0
e,1834,350,1872,404,1,8,4,1853.0,364.5
n,1872,350,1910,403,1,8,5,1891.0,364.0
t,1910,350,1948,404,1,8,6,1929.0,368.5
o,1948,350,1986,404,1,8,7,1967.0,364.5
s,1986,350,2024,404,1,8,8,2005.0,364.5
 ,2024,350,2062,403,1,8,0,2043.0,350.0
f,2062,350,2100,403,1,9,1,2081.0,369.5
r,2100,350,2138,403,1,9,2,2119.0,364.0
í,2138,350,2176,403,1,9,3,2157.0,370.0
