x,y,start,stop,subject,trial_id
1023,164,4349,4429,1301,30
1034,162,4457,4509,1301,30
1216,166,4765,4949,1301,30
1136,161,4997,5053,1301,30
1135,164,5081,5293,1301,30
538,214,5357,5413,1301,30
536,218,5441,5525,1301,30
274,185,5629,5865,1301,30
336,183,5893,6013,1301,30
528,186,6101,6277,1301,30
672,212,6309,6617,1301,30
692,223,6624,6756,1301,30
358,226,6808,6932,1301,30
244,255,6968,7088,1301,30
370,244,7152,7296,1301,30
623,276,7364,7524,1301,30
571,286,7548,7676,1301,30
531,291,7708,7880,1301,30
445,265,7908,8088,1301,30
756,291,8132,8228,1301,30
761,291,8244,8316,1301,30
728,291,8364,8492,1301,30
908,279,8756,9076,1301,30
949,284,9120,9196,1301,30
935,282,9228,9296,1301,30
1157,264,9384,9556,1301,30
1281,256,9660,9764,1301,30
1323,256,9792,10008,1301,30
1565,232,10128,10184,1301,30
1523,229,10212,10360,1301,30
1606,219,10396,10612,1301,30
1620,229,10724,10840,1301,30
244,209,11031,11128,1301,30
324,243,11287,11415,1301,30
562,247,11551,11707,1301,30
459,249,11735,11983,1301,30
610,259,12027,12167,1301,30
720,272,12199,12855,1301,30
951,269,13039,13167,1301,30
955,270,13195,13271,1301,30
924,292,13563,13651,1301,30
1104,281,13711,13939,1301,30
1062,278,14019,14155,1301,30
1072,288,14195,14267,1301,30
1295,268,14323,14406,1301,30
1304,257,14434,14586,1301,30
1302,256,14618,14874,1301,30
1443,213,14950,15010,1301,30
1363,240,15114,15286,1301,30
1214,242,15414,15686,1301,30
1257,252,15706,15926,1301,30
1319,244,15950,16118,1301,30
1148,249,16150,16502,1301,30
1135,133,16534,16658,1301,30
824,118,16710,16862,1301,30
638,109,16898,16954,1301,30
201,131,17094,17374,1301,30
170,165,17398,17622,1301,30
324,125,17666,17814,1301,30
470,149,17854,18050,1301,30
445,140,18066,18238,1301,30
614,175,18282,18429,1301,30
587,179,18449,18757,1301,30
263,206,18809,18949,1301,30
250,211,18977,19101,1301,30
259,220,19161,19381,1301,30
362,231,19409,19629,1301,30
476,233,19657,19933,1301,30
508,247,19953,20133,1301,30
512,246,20177,20245,1301,30
684,260,20281,20525,1301,30
721,269,20545,20713,1301,30
822,287,20745,20865,1301,30
974,275,21001,21201,1301,30
976,276,21229,21329,1301,30
1035,277,21401,21521,1301,30
1172,263,21645,21725,1301,30
1121,259,21833,21885,1301,30
1117,272,21900,21976,1301,30
1129,281,22005,22124,1301,30
1308,266,22184,22704,1301,30
1301,250,22732,22976,1301,30
1428,249,23008,23156,1301,30
1470,250,23176,23604,1301,30
1605,228,23640,23920,1301,30
1604,226,23936,24004,1301,30
1490,245,24040,24172,1301,30
1530,259,24236,24400,1301,30
1608,231,24440,24544,1301,30
286,301,24760,24884,1301,30
216,307,24908,25040,1301,30
241,322,25116,25180,1301,30
212,307,25212,25352,1301,30
228,315,25392,25456,1301,30
264,295,25484,25668,1301,30
448,310,25716,25940,1301,30
387,289,25963,26311,1301,30
652,308,26347,26543,1301,30
619,304,26563,26811,1301,30
673,308,26839,26979,1301,30
817,316,27011,27455,1301,30
888,325,27479,27683,1301,30
930,331,27707,27939,1301,30
1115,313,27979,28191,1301,30
1053,317,28219,28491,1301,30
1140,335,28535,28663,1301,30
1211,326,28687,29163,1301,30
1216,319,29191,29331,1301,30
1380,307,29479,29666,1301,30
1324,323,29694,29886,1301,30
1450,297,29990,30214,1301,30
1474,308,30266,30398,1301,30
1536,302,30422,30598,1301,30
1646,271,30634,31030,1301,30
1750,245,31058,31226,1301,30
393,316,31338,31402,1301,30
189,333,31434,31494,1301,30
195,344,31518,31674,1301,30
293,349,31702,31862,1301,30
463,344,31906,32190,1301,30
517,354,32218,32342,1301,30
676,347,32530,32742,1301,30
696,362,32762,32922,1301,30
795,376,32950,33098,1301,30
933,360,33134,33610,1301,30
980,370,33633,33853,1301,30
1156,363,33893,34041,1301,30
1101,371,34069,34329,1301,30
1187,372,34365,34517,1301,30
1322,349,34557,34741,1301,30
1295,357,34761,34897,1301,30
1518,334,34937,35073,1301,30
1437,344,35141,35257,1301,30
1289,365,35293,35485,1301,30
1253,382,35501,35613,1301,30
1363,365,35681,35813,1301,30
1405,354,35833,35893,1301,30
1401,363,35921,35997,1301,30
1496,358,36029,36145,1301,30
1498,364,36173,36265,1301,30
1490,374,36293,36385,1301,30
1642,345,36653,36804,1301,30
1640,351,36833,37008,1301,30
1703,370,37028,37240,1301,30
504,461,37348,37424,1301,30
255,441,37472,37524,1301,30
236,437,37552,37832,1301,30
500,438,37868,38032,1301,30
450,428,38056,38148,1301,30
419,423,38176,38452,1301,30
328,425,38508,38664,1301,30
486,418,38696,38880,1301,30
602,437,38912,39068,1301,30
656,446,39088,39180,1301,30
655,444,39212,39428,1301,30
806,448,39468,39544,1301,30
810,449,39572,39656,1301,30
905,453,39684,39872,1301,30
811,454,39908,40164,1301,30
967,453,40200,40332,1301,30
1035,455,40360,40660,1301,30
1183,450,40696,40928,1301,30
1140,446,40968,41143,1301,30
1382,446,41183,41256,1301,30
1346,438,41415,41571,1301,30
1393,438,41683,41827,1301,30
1529,436,41891,41951,1301,30
1531,426,41979,42087,1301,30
1686,391,42127,42695,1301,30
159,509,42899,42979,1301,30
226,511,43003,43199,1301,30
336,491,43223,43791,1301,30
446,497,43819,44271,1301,30
699,502,44315,44470,1301,30
666,498,44498,44663,1301,30
887,496,44706,44914,1301,30
804,503,44938,45086,1301,30
890,498,45114,45182,1301,30
1020,504,45214,45354,1301,30
1058,496,45374,45546,1301,30
1244,485,45586,45650,1301,30
1244,488,45662,45770,1301,30
1196,478,45794,45934,1301,30
1378,471,45974,46178,1301,30
1524,465,46218,46414,1301,30
1509,472,46562,46646,1301,30
227,528,46870,47130,1301,30
539,316,47186,47414,1301,30
496,314,47434,47574,1301,30
645,314,47606,47834,1301,30
851,327,47882,48006,1301,30
940,327,48082,48166,1301,30
1158,334,48254,48485,1301,30
1140,336,48558,48641,1301,30
1074,379,48689,48753,1301,30
963,400,48817,49053,1301,30
1158,404,49089,49177,1301,30
630,260,49981,50141,1301,30
647,193,50169,50221,1301,30
642,191,50249,50557,1301,30
644,182,50565,50765,1301,30
398,253,40,168,2104,30
268,253,204,268,2104,30
846,241,1420,1472,2104,30
855,250,1500,1576,2104,30
454,354,1988,2124,2104,30
556,324,2207,2331,2104,30
371,305,2583,2635,2104,30
493,315,2747,2799,2104,30
779,284,3199,3275,2104,30
777,319,3299,3355,2104,30
1041,374,4099,4435,2104,30
979,363,4459,4579,2104,30
1233,339,4611,4671,2104,30
1230,348,4715,4887,2104,30
1339,325,4943,5059,2104,30
1326,364,5275,5507,2104,30
1533,344,5550,5626,2104,30
1627,334,5726,5867,2104,30
1624,344,5894,6074,2104,30
1720,315,6110,6274,2104,30
1538,332,6306,6454,2104,30
1458,336,6490,6590,2104,30
1379,338,7142,7286,2104,30
1446,339,7310,7474,2104,30
242,326,7830,8010,2104,30
457,363,8066,8166,2104,30
382,345,8194,8366,2104,30
334,341,8390,8502,2104,30
523,358,8546,8654,2104,30
770,378,9022,9158,2104,30
630,394,9198,9338,2104,30
789,397,9378,9501,2104,30
967,389,9857,10121,2104,30
966,386,10145,10601,2104,30
995,378,10649,10801,2104,30
1102,388,10845,11029,2104,30
1228,338,11205,11337,2104,30
1136,364,11441,11541,2104,30
1214,367,11565,11705,2104,30
1320,377,11733,11869,2104,30
1277,387,11897,12029,2104,30
1369,391,12057,12249,2104,30
1496,370,12285,12473,2104,30
1691,349,12505,12729,2104,30
1719,344,12749,12909,2104,30
1781,365,12933,13009,2104,30
324,378,13356,13448,2104,30
240,386,13472,13652,2104,30
336,396,13744,13840,2104,30
493,414,13876,14424,2104,30
379,394,14448,14692,2104,30
593,392,14752,14876,2104,30
680,415,14912,15088,2104,30
730,411,15112,15264,2104,30
815,394,15288,15452,2104,30
949,383,15492,15636,2104,30
1014,410,15724,15884,2104,30
1186,397,15916,15996,2104,30
955,416,16264,16400,2104,30
1059,406,16440,16616,2104,30
1131,388,16708,16768,2104,30
1238,384,16812,16976,2104,30
1356,395,17056,17180,2104,30
1317,394,17196,17363,2104,30
1478,390,17395,17547,2104,30
1558,386,17571,17696,2104,30
1527,367,17723,17799,2104,30
1604,358,17840,18019,2104,30
1664,371,18044,18219,2104,30
1734,370,18247,18299,2104,30
1751,363,18327,18387,2104,30
1797,349,18411,18483,2104,30
300,468,18587,18691,2104,30
222,461,18759,18823,2104,30
382,469,19043,19115,2104,30
335,448,19139,19283,2104,30
397,429,19303,19551,2104,30
536,429,19579,19687,2104,30
643,448,19799,19951,2104,30
695,438,20107,20271,2104,30
887,415,20335,20423,2104,30
1057,462,20766,20838,2104,30
1063,460,20874,20958,2104,30
1234,441,20986,21171,2104,30
1200,441,21190,21342,2104,30
1254,444,21370,21450,2104,30
1128,440,21554,21710,2104,30
1214,440,21798,21978,2104,30
1572,470,22326,22442,2104,30
1455,465,22618,22702,2104,30
1445,476,22730,22882,2104,30
1405,494,22906,23158,2104,30
1529,439,23186,23538,2104,30
1477,472,23570,23702,2104,30
1699,445,23754,23866,2104,30
1750,438,23890,23950,2104,30
383,528,24086,24182,2104,30
274,520,24206,24282,2104,30
224,526,24362,24470,2104,30
375,531,24598,24657,2104,30
530,530,24890,24969,2104,30
637,530,25197,25333,2104,30
919,520,25641,25717,2104,30
894,527,25749,25857,2104,30
1116,524,25893,25969,2104,30
1065,535,26173,26229,2104,30
1219,540,26273,26405,2104,30
1304,534,26433,26633,2104,30
1428,511,26741,26837,2104,30
1579,510,26869,26949,2104,30
1579,513,26977,27133,2104,30
274,593,27325,27409,2104,30
199,585,27485,27629,2104,30
1591,571,27753,27849,2104,30
1678,552,27877,27961,2104,30
470,338,28077,28189,2104,30
304,297,28217,28360,2104,30
311,329,28477,28568,2104,30
542,334,28632,28704,2104,30
347,260,28768,28824,2104,30
250,232,28940,29004,2104,30
542,344,29124,29280,2104,30
597,305,29304,29440,2104,30
808,321,29480,29632,2104,30
961,379,29804,29904,2104,30
1095,351,29932,30120,2104,30
1228,343,30144,30284,2104,30
1360,335,30320,30512,2104,30
1596,313,30544,30604,2104,30
1598,319,30632,30700,2104,30
1379,412,30744,30880,2104,30
882,397,30968,31080,2104,30
698,397,31140,31252,2104,30
919,348,31296,31436,2104,30
1012,360,31460,31640,2104,30
882,490,31752,31844,2104,30
673,443,31876,32048,2104,30
530,425,32084,32196,2104,30
1152,398,32288,32396,2104,30
1316,372,32427,32576,2104,30
1411,394,32607,32707,2104,30
1414,396,32735,32871,2104,30
1504,387,32895,33087,2104,30
1647,389,33167,33375,2104,30
850,389,33447,33587,2104,30
1024,392,33615,33671,2104,30
1183,369,33871,34059,2104,30
1336,360,34087,34243,2104,30
1486,369,34275,34415,2104,30
1737,333,34455,34515,2104,30
792,449,35335,35467,2104,30
900,447,35491,35623,2104,30
970,433,35647,35715,2104,30
1247,345,36526,36582,2104,30
1536,415,37262,37318,2104,30
1678,397,37530,37582,2104,30
1765,367,37650,37706,2104,30
229,475,37974,38026,2104,30
