Trial	Trial Start Raw Time [ms]	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category	Eye L/R	Index	Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Start Raw Time [ms]	Event End Raw Time [ms]	Event Duration [ms]	Fixation Position X [px]	Fixation Position Y [px]	Fixation Average Pupil Size X [px]	Fixation Average Pupil Size Y [px]	Fixation Average Pupil Diameter [mm]	Fixation Dispersion X [px]	Fixation Dispersion Y [px]	AOI Name
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	24	7421.9	7566.0	1738679827853.8	1738679827997.9	144.1	296.6	384.9	3.4	3.4	3.4	12.1	29.5	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	25	7649.9	8053.9	1738679828081.8	1738679828485.8	404.0	501.9	373.3	3.6	3.6	3.6	32.6	70.9	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	26	8081.9	8381.7	1738679828513.7	1738679828813.6	299.9	700.6	388.0	3.6	3.6	3.6	39.3	47.3	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	27	8413.9	8569.7	1738679828845.8	1738679829001.5	155.8	860.6	354.0	3.6	3.6	3.6	29.0	19.0	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	28	8621.7	8713.6	1738679829053.6	1738679829145.5	91.9	867.6	375.3	3.6	3.6	3.6	20.3	11.4	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	29	8829.6	8965.6	1738679829261.5	1738679829397.5	136.0	1026.6	367.4	3.6	3.6	3.6	17.6	20.2	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	30	8993.6	9173.6	1738679829425.5	1738679829605.4	180.0	986.4	368.1	3.5	3.5	3.5	18.4	19.5	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	31	9201.6	9393.5	1738679829633.5	1738679829825.3	191.8	1117.5	350.0	3.5	3.5	3.5	30.2	36.9	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	32	9433.5	9557.3	1738679829865.4	1738679829989.2	123.8	1282.2	356.8	3.5	3.5	3.5	34.1	24.7	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	33	9681.4	9841.4	1738679830113.2	1738679830273.2	160.0	1382.1	352.2	3.5	3.5	3.5	29.4	20.3	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	34	9869.3	10089.2	1738679830301.2	1738679830521.1	219.9	1458.3	357.3	3.5	3.5	3.5	17.6	28.3	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	35	10129.3	10345.3	1738679830561.2	1738679830777.1	215.9	1627.5	334.8	3.3	3.3	3.3	25.4	20.6	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	36	10421.2	10573.2	1738679830853.1	1738679831005.1	152.0	1719.1	318.1	3.2	3.2	3.2	21.6	32.8	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	37	10601.2	10705.2	1738679831033.1	1738679831137.1	104.0	1728.8	312.5	3.2	3.2	3.2	35.9	15.2	White Space
