Trial	Trial Start Raw Time [ms]	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category	Eye L/R	Index	Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Start Raw Time [ms]	Event End Raw Time [ms]	Event Duration [ms]	Fixation Position X [px]	Fixation Position Y [px]	Fixation Average Pupil Size X [px]	Fixation Average Pupil Size Y [px]	Fixation Average Pupil Diameter [mm]	Fixation Dispersion X [px]	Fixation Dispersion Y [px]	Saccade Start Position X [px]	Saccade Start Position Y [px]	Saccade End Position X [px]	Saccade End Position Y [px]	Saccade Amplitude [°]	Saccade Acceleration Average [°/s²]	Saccade Acceleration Peak [°/s²]	Saccade Deceleration Peak [°/s²]	Saccade Velocity Average [°/s]	Saccade Velocity Peak [°/s]	Saccade Peak Velocity at [%]	AOI Name	Port Status	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	6	1603.7	1815.7	1738679822035.5	1738679822247.6	212.0	807.8	119.2	3.6	3.6	3.6	12.4	22.3	-	-	-	-	-	-	-	-	-	-	-	White Space	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Saccade	Right	10	1815.7	1855.5	1738679822247.6	1738679822287.4	39.8	-	-	-	-	-	-	-	805.0	125.6	806.7	130.9	1.8	1232.9	2595.6	-2692.8	45.0	69.1	69.8	-	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Saccade	Right	11	1883.4	1919.4	1738679822315.3	1738679822351.3	36.0	-	-	-	-	-	-	-	805.9	139.0	991.1	124.0	3.4	6625.4	9115.2	-9475.8	94.6	197.6	44.3	-	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Saccade	Right	12	1927.4	1963.4	1738679822359.3	1738679822395.3	36.0	-	-	-	-	-	-	-	996.1	123.9	1000.3	145.8	1.0	1346.6	2181.3	-1837.3	28.2	50.4	33.4	-	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Saccade	Right	13	2011.4	2055.4	1738679822443.3	1738679822487.2	43.9	-	-	-	-	-	-	-	1005.5	145.5	1000.5	129.8	2.2	1678.9	3798.9	-2787.5	49.2	76.8	27.5	-	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	7	2055.4	2211.3	1738679822487.2	1738679822643.2	156.0	994.1	121.7	3.5	3.5	3.5	35.0	64.4	-	-	-	-	-	-	-	-	-	-	-	White Space	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Saccade	Right	14	2211.3	2251.4	1738679822643.2	1738679822683.3	40.1	-	-	-	-	-	-	-	986.4	104.5	1007.7	128.1	2.2	2617.1	3367.4	-4334.0	54.0	100.1	59.9	-	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	8	2251.4	2343.4	1738679822683.3	1738679822775.2	92.0	999.4	133.0	3.5	3.5	3.5	27.3	52.7	-	-	-	-	-	-	-	-	-	-	-	White Space	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Saccade	Right	15	2343.4	2379.4	1738679822775.2	1738679822811.3	36.0	-	-	-	-	-	-	-	992.2	118.2	1139.7	98.4	2.8	5591.8	7733.2	-7853.0	78.1	171.0	44.2	-	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	9	2379.4	2571.3	1738679822811.3	1738679823003.2	191.9	1134.4	86.1	3.5	3.5	3.5	19.9	28.7	-	-	-	-	-	-	-	-	-	-	-	White Space	-	-	-	-	-	-	-	-	-
