Name,char_xmin,char_ymin,char_xmax,char_ymax,width,height,paragraph,section,word,letter,region,assigned_line,char,char_x_center,char_y_center,trial_id
__re_p1_s1_w1_c3_r0_l2_n,1544,206,1564,247,20,41,1,1,1,3,0,2,n,1554,226.5,1
__re_p1_s1_w1_c4_r0_l2_s,1564,206,1582,247,18,41,1,1,1,4,0,2,s,1573,226.5,1
__re_p1_s1_w1_c5_r0_l2_a,1582,206,1602,247,20,41,1,1,1,5,0,2,a,1592,226.5,1
__re_p1_s1_w1_c6_r0_l2_d,1602,206,1622,247,20,41,1,1,1,6,0,2,d,1612,226.5,1
__re_p1_s1_w1_c7_r0_l2_o,1622,206,1642,247,20,41,1,1,1,7,0,2,o,1632,226.5,1
__re_p1_s1_w1_c8_r0_l2_r,1643,206,1660,247,17,41,1,1,1,8,0,2,r,1651.5,226.5,1
__re_p1_s1_w1_c1_r0_l3_i,260,247,272,289,12,42,1,1,1,1,0,3,i,266,268,1
__re_p1_s1_w1_c2_r0_l3_n,272,247,292,289,20,42,1,1,1,2,0,3,n,282,268,1
__re_p1_s1_w1_c3_r0_l3_c,293,247,311,289,18,42,1,1,1,3,0,3,c,302,268,1
__re_p1_s1_w1_c4_r0_l3_l,311,247,318,289,7,42,1,1,1,4,0,3,l,314.5,268,1
__re_p1_s1_w1_c5_r0_l3_u,319,247,339,289,20,42,1,1,1,5,0,3,u,329,268,1
__re_p1_s1_w1_c6_r0_l3_s,339,247,357,289,18,42,1,1,1,6,0,3,s,348,268,1
__re_p1_s1_w1_c7_r0_l3_o,357,247,385,289,28,42,1,1,1,7,0,3,o,371,268,1
__re_p1_s1_w1_c1_r0_l3_a,385,247,413,289,28,42,1,1,1,1,0,3,a,399,268,1
__re_p1_s1_w1_c2_r0_l3_f,413,247,423,289,10,42,1,1,1,2,0,3,f,418,268,1
__re_p1_s1_w1_c3_r0_l3_i,423,247,430,289,7,42,1,1,1,3,0,3,i,426.5,268,1
__re_p1_s1_w1_c4_r0_l3_r,431,247,442,289,11,42,1,1,1,4,0,3,r,436.5,268,1
__re_p1_s1_w1_c5_r0_l3_m,443,247,472,289,29,42,1,1,1,5,0,3,m,457.5,268,1
__re_p1_s1_w1_c6_r0_l3_a,473,247,493,289,20,42,1,1,1,6,0,3,a,483,268,1
__re_p1_s1_w1_c7_r0_l3_b,493,247,513,289,20,42,1,1,1,7,0,3,b,503,268,1
__re_p1_s1_w1_c8_r0_l3_a,513,247,541,289,28,42,1,1,1,8,0,3,a,527,268,1
__re_p1_s1_w1_c1_r0_l3_q,542,247,570,289,28,42,1,1,1,1,0,3,q,556,268,1
__re_p1_s1_w1_c2_r0_l3_u,570,247,590,289,20,42,1,1,1,2,0,3,u,580,268,1
__re_p1_s1_w1_c3_r0_l3_e,590,247,610,289,20,42,1,1,1,3,0,3,e,600,268,1
"__re_p1_s1_w1_c4_r0_l3_,",610,247,628,289,18,42,1,1,1,4,0,3,",",619,268,1
__re_p1_s1_w1_c1_r0_l3_a,629,247,657,289,28,42,1,1,1,1,0,3,a,643,268,1
__re_p1_s1_w1_c2_r0_l3_l,657,247,673,289,16,42,1,1,1,2,0,3,l,665,268,1
__re_p1_s1_w1_c1_r0_l3_s,673,247,700,289,27,42,1,1,1,1,0,3,s,686.5,268,1
__re_p1_s1_w1_c2_r0_l3_e,700,247,720,289,20,42,1,1,1,2,0,3,e,710,268,1
__re_p1_s1_w1_c3_r0_l3_r,720,247,740,289,20,42,1,1,1,3,0,3,r,730,268,1
__re_p1_s1_w1_c1_r0_l3_a,740,247,769,289,29,42,1,1,1,1,0,3,a,754.5,268,1
__re_p1_s1_w1_c2_r0_l3_s,769,247,787,289,18,42,1,1,1,2,0,3,s,778,268,1
__re_p1_s1_w1_c3_r0_l3_t,787,247,797,289,10,42,1,1,1,3,0,3,t,792,268,1
__re_p1_s1_w1_c4_r0_l3_r,797,247,808,289,11,42,1,1,1,4,0,3,r,802.5,268,1
__re_p1_s1_w1_c5_r0_l3_o,809,247,829,289,20,42,1,1,1,5,0,3,o,819,268,1
__re_p1_s1_w1_c6_r0_l3_s,829,247,847,289,18,42,1,1,1,6,0,3,s,838,268,1
"__re_p1_s1_w1_c7_r0_l3_,",847,247,865,289,18,42,1,1,1,7,0,3,",",856,268,1
__re_p1_s1_w1_c1_r0_l3_l,866,247,881,289,15,42,1,1,1,1,0,3,l,873.5,268,1
__re_p1_s1_w1_c2_r0_l3_o,882,247,902,289,20,42,1,1,1,2,0,3,o,892,268,1
__re_p1_s1_w1_c3_r0_l3_s,902,247,928,289,26,42,1,1,1,3,0,3,s,915,268,1
__re_p1_s1_w1_c1_r0_l3_c,929,247,955,289,26,42,1,1,1,1,0,3,c,942,268,1
__re_p1_s1_w1_c2_r0_l3_o,955,247,975,289,20,42,1,1,1,2,0,3,o,965,268,1
__re_p1_s1_w1_c3_r0_l3_m,975,247,1004,289,29,42,1,1,1,3,0,3,m,989.5,268,1
__re_p1_s1_w1_c4_r0_l3_e,1005,247,1025,289,20,42,1,1,1,4,0,3,e,1015,268,1
__re_p1_s1_w1_c5_r0_l3_t,1025,247,1035,289,10,42,1,1,1,5,0,3,t,1030,268,1
__re_p1_s1_w1_c6_r0_l3_a,1035,247,1055,289,20,42,1,1,1,6,0,3,a,1045,268,1
__re_p1_s1_w1_c7_r0_l3_s,1055,247,1081,289,26,42,1,1,1,7,0,3,s,1068,268,1
__re_p1_s1_w1_c1_r0_l3_d,1082,247,1110,289,28,42,1,1,1,1,0,3,d,1096,268,1
__re_p1_s1_w1_c2_r0_l3_e,1110,247,1130,289,20,42,1,1,1,2,0,3,e,1120,268,1
__re_p1_s1_w1_c3_r0_l3_b,1130,247,1150,289,20,42,1,1,1,3,0,3,b,1140,268,1
__re_p1_s1_w1_c4_r0_l3_í,1150,247,1160,289,10,42,1,1,1,4,0,3,í,1155,268,1
__re_p1_s1_w1_c5_r0_l3_a,1160,247,1180,289,20,42,1,1,1,5,0,3,a,1170,268,1
__re_p1_s1_w1_c6_r0_l3_n,1180,247,1208,289,28,42,1,1,1,6,0,3,n,1194,268,1
__re_p1_s1_w1_c1_r0_l3_o,1209,247,1237,289,28,42,1,1,1,1,0,3,o,1223,268,1
__re_p1_s1_w1_c2_r0_l3_c,1237,247,1255,289,18,42,1,1,1,2,0,3,c,1246,268,1
__re_p1_s1_w1_c3_r0_l3_u,1255,247,1275,289,20,42,1,1,1,3,0,3,u,1265,268,1
__re_p1_s1_w1_c4_r0_l3_l,1275,247,1282,289,7,42,1,1,1,4,0,3,l,1278.5,268,1
__re_p1_s1_w1_c5_r0_l3_t,1283,247,1293,289,10,42,1,1,1,5,0,3,t,1288,268,1
__re_p1_s1_w1_c6_r0_l3_a,1293,247,1313,289,20,42,1,1,1,6,0,3,a,1303,268,1
__re_p1_s1_w1_c7_r0_l3_r,1313,247,1333,289,20,42,1,1,1,7,0,3,r,1323,268,1
__re_p1_s1_w1_c1_r0_l3_u,1333,247,1362,289,29,42,1,1,1,1,0,3,u,1347.5,268,1
__re_p1_s1_w1_c2_r0_l3_n,1362,247,1390,289,28,42,1,1,1,2,0,3,n,1376,268,1
__re_p1_s1_w1_c1_r0_l3_c,1391,247,1417,289,26,42,1,1,1,1,0,3,c,1404,268,1
__re_p1_s1_w1_c2_r0_l3_u,1417,247,1437,289,20,42,1,1,1,2,0,3,u,1427,268,1
__re_p1_s1_w1_c3_r0_l3_e,1437,247,1457,289,20,42,1,1,1,3,0,3,e,1447,268,1
__re_p1_s1_w1_c4_r0_l3_r,1457,247,1468,289,11,42,1,1,1,4,0,3,r,1462.5,268,1
__re_p1_s1_w1_c5_r0_l3_p,1469,247,1489,289,20,42,1,1,1,5,0,3,p,1479,268,1
__re_p1_s1_w1_c6_r0_l3_o,1489,247,1517,289,28,42,1,1,1,6,0,3,o,1503,268,1
__re_p1_s1_w1_c1_r0_l3_s,1518,247,1544,289,26,42,1,1,1,1,0,3,s,1531,268,1
__re_p1_s1_w1_c2_r0_l3_ó,1544,247,1564,289,20,42,1,1,1,2,0,3,ó,1554,268,1
__re_p1_s1_w1_c3_r0_l3_l,1564,247,1571,289,7,42,1,1,1,3,0,3,l,1567.5,268,1
__re_p1_s1_w1_c4_r0_l3_i,1572,247,1579,289,7,42,1,1,1,4,0,3,i,1575.5,268,1
__re_p1_s1_w1_c5_r0_l3_d,1580,247,1600,289,20,42,1,1,1,5,0,3,d,1590,268,1
__re_p1_s1_w1_c6_r0_l3_o,1600,247,1628,289,28,42,1,1,1,6,0,3,o,1614,268,1
__re_p1_s1_w1_c1_r0_l3_y,1629,247,1660,289,31,42,1,1,1,1,0,3,y,1644.5,268,1
__re_p1_s1_w1_c1_r0_l3_t,260,289,275,330,15,41,1,1,1,1,0,3,t,267.5,309.5,1
__re_p1_s1_w1_c2_r0_l3_e,275,289,295,330,20,41,1,1,1,2,0,3,e,285,309.5,1
__re_p1_s1_w1_c3_r0_l3_r,295,289,306,330,11,41,1,1,1,3,0,3,r,300.5,309.5,1
__re_p1_s1_w1_c4_r0_l3_r,307,289,318,330,11,41,1,1,1,4,0,3,r,312.5,309.5,1
__re_p1_s1_w1_c5_r0_l3_o,318,289,338,330,20,41,1,1,1,5,0,3,o,328,309.5,1
__re_p1_s1_w1_c6_r0_l3_s,339,289,357,330,18,41,1,1,1,6,0,3,s,348,309.5,1
__re_p1_s1_w1_c7_r0_l3_o,357,289,382,330,25,41,1,1,1,7,0,3,o,369.5,309.5,1
__re_p1_s1_w1_c1_r0_l3_q,383,289,408,330,25,41,1,1,1,1,0,3,q,395.5,309.5,1
__re_p1_s1_w1_c2_r0_l3_u,409,289,429,330,20,41,1,1,1,2,0,3,u,419,309.5,1
__re_p1_s1_w1_c3_r0_l3_e,429,289,455,330,26,41,1,1,1,3,0,3,e,442,309.5,1
__re_p1_s1_w1_c1_r0_l3_s,455,289,479,330,24,41,1,1,1,1,0,3,s,467,309.5,1
__re_p1_s1_w1_c2_r0_l3_e,479,289,499,330,20,41,1,1,1,2,0,3,e,489,309.5,1
__re_p1_s1_w1_c3_r0_l3_r,499,289,510,330,11,41,1,1,1,3,0,3,r,504.5,309.5,1
__re_p1_s1_w1_c4_r0_l3_í,511,289,521,330,10,41,1,1,1,4,0,3,í,516,309.5,1
__re_p1_s1_w1_c5_r0_l3_a,521,289,547,330,26,41,1,1,1,5,0,3,a,534,309.5,1
__re_p1_s1_w1_c1_r0_l3_e,547,289,573,330,26,41,1,1,1,1,0,3,e,560,309.5,1
__re_p1_s1_w1_c2_r0_l3_s,573,289,591,330,18,41,1,1,1,2,0,3,s,582,309.5,1
__re_p1_s1_w1_c3_r0_l3_f,591,289,601,330,10,41,1,1,1,3,0,3,f,596,309.5,1
__re_p1_s1_w1_c4_r0_l3_é,601,289,621,330,20,41,1,1,1,4,0,3,é,611,309.5,1
__re_p1_s1_w1_c5_r0_l3_r,621,289,632,330,11,41,1,1,1,5,0,3,r,626.5,309.5,1
__re_p1_s1_w1_c6_r0_l3_i,633,289,640,330,7,41,1,1,1,6,0,3,i,636.5,309.5,1
__re_p1_s1_w1_c7_r0_l3_c,641,289,659,330,18,41,1,1,1,7,0,3,c,650,309.5,1
__re_p1_s1_w1_c8_r0_l3_o,659,289,679,330,20,41,1,1,1,8,0,3,o,669,309.5,1
"__re_p1_s1_w1_c9_r0_l3_,",679,289,695,330,16,41,1,1,1,9,0,3,",",687,309.5,1
__re_p1_s1_w1_c1_r0_l3_s,695,289,719,330,24,41,1,1,1,1,0,3,s,707,309.5,1
__re_p1_s1_w1_c2_r0_l3_i,719,289,726,330,7,41,1,1,1,2,0,3,i,722.5,309.5,1
__re_p1_s1_w1_c3_r0_l3_e,727,289,747,330,20,41,1,1,1,3,0,3,e,737,309.5,1
__re_p1_s1_w1_c4_r0_l3_n,747,289,767,330,20,41,1,1,1,4,0,3,n,757,309.5,1
__re_p1_s1_w1_c5_r0_l3_d,767,289,787,330,20,41,1,1,1,5,0,3,d,777,309.5,1
__re_p1_s1_w1_c6_r0_l3_o,787,289,813,330,26,41,1,1,1,6,0,3,o,800,309.5,1
