char,char_xmin,char_ymin,char_xmax,char_ymax,block,paragraph,line_number,word_nr,letter_nr,word,char_x_center,char_y_center,assigned_line,trial_id
n,402,650,419,673,1,1,9,1,12,determinación,410,662,9,10
 ,419,650,440,673,1,1,9,1,13,determinación,430,662,9,10
g,440,650,454,673,1,1,9,2,0,genética,447,662,9,10
e,454,650,470,673,1,1,9,2,1,genética,462,662,9,10
n,470,650,487,673,1,1,9,2,2,genética,478,662,9,10
é,487,650,504,673,1,1,9,2,3,genética,496,662,9,10
t,504,650,521,673,1,1,9,2,4,genética,512,662,9,10
i,521,650,537,673,1,1,9,2,5,genética,529,662,9,10
c,537,650,555,673,1,1,9,2,6,genética,546,662,9,10
a,555,650,572,673,1,1,9,2,7,genética,564,662,9,10
 ,572,650,593,673,1,1,9,2,8,genética,582,662,9,10
n,593,650,606,673,1,1,9,3,0,no,600,662,9,10
o,606,650,623,673,1,1,9,3,1,no,614,662,9,10
 ,623,650,644,673,1,1,9,3,2,no,634,662,9,10
a,644,650,657,673,1,1,9,4,0,ambientalista.,650,662,9,10
m,657,650,676,673,1,1,9,4,1,ambientalista.,666,662,9,10
b,676,650,691,673,1,1,9,4,2,ambientalista.,684,662,9,10
i,691,650,707,673,1,1,9,4,3,ambientalista.,699,662,9,10
e,707,650,725,673,1,1,9,4,4,ambientalista.,716,662,9,10
n,725,650,742,673,1,1,9,4,5,ambientalista.,734,662,9,10
t,742,650,759,673,1,1,9,4,6,ambientalista.,750,662,9,10
a,759,650,776,673,1,1,9,4,7,ambientalista.,768,662,9,10
l,776,650,792,673,1,1,9,4,8,ambientalista.,784,662,9,10
i,792,650,809,673,1,1,9,4,9,ambientalista.,800,662,9,10
s,809,650,826,673,1,1,9,4,10,ambientalista.,818,662,9,10
t,826,650,844,673,1,1,9,4,11,ambientalista.,835,662,9,10
a,844,650,861,673,1,1,9,4,12,ambientalista.,852,662,9,10
.,861,650,873,673,1,1,9,4,13,ambientalista.,867,662,9,10
