Trial;Trial Start Raw Time [ms];Stimulus;Export Start Trial Time [ms];Export End Trial Time [ms];Participant;Color;Tracking Ratio [%];Category Group;Category;Eye L/R;Index;Event Start Trial Time [ms];Event End Trial Time [ms];Event Start Raw Time [ms];Event End Raw Time [ms];Event Duration [ms];Fixation Position X [px];Fixation Position Y [px];Fixation Average Pupil Size X [px];Fixation Average Pupil Size Y [px];Fixation Average Pupil Diameter [mm];Fixation Dispersion X [px];Fixation Dispersion Y [px];AOI Name
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;25;8913.7;9057.6;1739439987071.3;1739439987215.2;143.9;966.3;228.2;3.5;3.5;3.5;10.6;5.7;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;26;9089.7;9413.6;1739439987247.3;1739439987571.2;323.9;1122.0;231.7;3.5;3.5;3.5;16.3;11.0;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;27;9445.6;9693.5;1739439987603.2;1739439987851.1;247.9;1287.8;228.2;3.6;3.6;3.6;15.4;19.7;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;28;9733.5;9905.4;1739439987891.1;1739439988063.0;172.0;1419.2;179.8;3.5;3.5;3.5;23.9;37.1;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;29;9953.5;10381.3;1739439988111.1;1739439988538.9;427.7;1639.0;179.2;3.5;3.5;3.5;55.2;44.5;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;30;10409.3;10549.3;1739439988566.9;1739439988706.9;140.0;1723.4;195.1;3.3;3.3;3.3;33.4;42.8;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;31;10657.3;10813.2;1739439988814.9;1739439988970.9;155.9;290.0;254.8;3.5;3.5;3.5;28.3;37.7;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;32;10849.1;11069.2;1739439989006.8;1739439989226.8;220.0;221.9;247.5;3.5;3.5;3.5;36.0;55.6;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;33;11097.0;11389.0;1739439989254.7;1739439989546.6;291.9;343.8;269.4;3.4;3.4;3.4;26.2;20.4;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;34;11433.0;11792.9;1739439989590.6;1739439989950.5;359.9;538.4;277.1;3.4;3.4;3.4;30.9;39.4;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;35;11824.9;12136.9;1739439989982.5;1739439990294.5;312.0;739.3;286.0;3.5;3.5;3.5;20.8;21.6;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;36;12188.8;12404.7;1739439990346.4;1739439990562.3;215.9;939.6;351.3;3.1;3.1;3.1;28.4;50.1;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;37;12568.7;12716.8;1739439990726.3;1739439990874.4;148.1;1008.3;287.2;3.5;3.5;3.5;15.1;41.7;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;38;12760.7;13208.7;1739439990918.3;1739439991366.3;447.9;859.7;277.6;3.5;3.5;3.5;34.2;32.1;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;39;13240.5;13540.4;1739439991398.1;1739439991698.0;300.0;734.0;282.6;3.5;3.5;3.5;18.3;37.9;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;40;13588.4;13876.3;1739439991746.0;1739439992033.9;287.9;984.6;276.4;3.6;3.6;3.6;16.7;28.3;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;41;13904.7;14312.2;1739439992062.3;1739439992469.8;407.6;1107.8;286.5;3.6;3.6;3.6;32.4;21.7;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;42;14348.4;14660.3;1739439992506.0;1739439992817.9;311.9;1283.4;271.0;3.6;3.6;3.6;18.8;40.3;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;43;14724.1;15008.0;1739439992881.7;1739439993165.6;283.9;1454.6;356.1;3.6;3.6;3.6;19.7;45.7;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;44;15052.0;15440.0;1739439993209.6;1739439993597.6;387.9;1562.4;287.1;3.5;3.5;3.5;37.6;45.2;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;45;15759.9;15851.8;1739439993917.5;1739439994009.4;92.0;285.7;317.8;3.4;3.4;3.4;11.3;14.8;White Space
